Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes;Heart rate;Activity (steps)
2014-08-28 21:29:27;2014-08-29 05:11:48;74%;7:42;;;0;12147
2014-08-29 22:09:14;2014-08-30 06:34:38;85%;8:25;;;0;11290
2014-08-31 22:53:59;2014-09-01 07:43:54;93%;8:49;;;0;7594
2014-09-01 22:09:01;2014-09-02 06:01:33;77%;7:52;;;0;10615
2014-09-02 22:00:42;2014-09-03 05:12:32;86%;7:11;;;0;7639
2014-09-03 21:33:39;2014-09-04 05:12:10;89%;7:38;;;0;9151
2014-09-04 21:46:11;2014-09-05 05:13:05;84%;7:26;;;0;14065
2014-09-05 22:42:59;2014-09-06 06:56:42;89%;8:13;;;0;9197
2014-09-07 22:26:45;2014-09-08 06:53:06;92%;8:26;;;0;7099
2014-09-08 22:07:06;2014-09-09 05:10:29;71%;7:03;;;0;9662
2014-09-09 21:43:42;2014-09-10 05:12:43;77%;7:29;;;0;12693
2014-09-10 21:42:54;2014-09-11 05:12:40;86%;7:29;;;0;10220
2014-09-11 23:20:17;2014-09-12 05:58:08;65%;6:37;;;0;13679
2014-09-12 22:54:24;2014-09-13 07:35:34;94%;8:41;;;0;10668
2014-09-13 22:06:34;2014-09-14 07:00:53;97%;8:54;;;0;4683
2014-09-14 23:38:38;2014-09-15 07:09:16;67%;7:30;;;0;4775
2014-09-15 22:04:26;2014-09-16 05:08:49;79%;7:04;;;0;8991
2014-09-16 21:32:03;2014-09-17 05:09:27;91%;7:37;;;0;9838
2014-09-17 21:58:32;2014-09-18 05:13:21;80%;7:14;;;0;10841
2014-09-18 21:48:59;2014-09-19 05:13:01;58%;7:24;;;0;11077
2014-09-23 21:21:48;2014-09-24 05:11:58;85%;7:50;;;0;7614
2014-09-24 22:02:52;2014-09-25 06:12:37;83%;8:09;;;0;12121
2014-09-25 22:36:32;2014-09-26 07:17:51;80%;8:41;;;0;15403
2014-09-26 23:04:14;2014-09-27 07:46:59;85%;8:42;;;0;11528
2014-09-27 23:49:06;2014-09-28 07:04:45;82%;7:15;;;0;7664
2014-09-28 22:30:57;2014-09-29 07:53:49;87%;9:22;;;0;12032
2014-09-29 22:04:52;2014-09-30 06:13:09;90%;8:08;;;0;9025
2014-09-30 21:38:57;2014-10-01 05:13:59;81%;7:35;;;0;13352
2014-10-01 21:58:47;2014-10-02 05:13:14;85%;7:14;;;0;12009
2014-10-02 21:28:32;2014-10-03 05:28:08;72%;7:59;;;0;15781
2014-10-03 23:47:55;2014-10-04 07:05:42;77%;7:17;;;0;10147
2014-10-05 22:14:24;2014-10-06 07:08:56;97%;8:54;;;0;3737
2014-10-06 21:45:09;2014-10-07 05:15:34;79%;7:30;;;0;13209
2014-10-07 21:38:59;2014-10-08 05:08:15;89%;7:29;;;0;13331
